#Teff LogG F606-F814
2000. -0.5 5.4732
2000. 0.0 5.2611
2000. 0.5 5.1386
2000. 1.0 5.0554
2000. 1.5 5.0004
2000. 2.0 4.9652
2000. 2.5 4.9618
2000. 3.0 4.9138
2000. 3.5 4.8503
2000. 4.0 4.6057
2000. 4.5 4.4058
2000. 5.0 4.224
2000. 5.5 4.013
2100. -0.5 5.2871
2100. 0.0 5.0882
2100. 0.5 4.9132
2100. 1.0 4.8076
2100. 1.5 4.7324
2100. 2.0 4.7007
2100. 2.5 4.7035
2100. 3.0 4.7021
2100. 3.5 4.6735
2100. 4.0 4.5475
2100. 4.5 4.3604
2100. 5.0 4.1125
2100. 5.5 3.932
2200. -0.5 4.9584
2200. 0.0 4.9134
2200. 0.5 4.6598
2200. 1.0 4.4855
2200. 1.5 4.3979
2200. 2.0 4.3791
2200. 2.5 4.3852
2200. 3.0 4.3939
2200. 3.5 4.3795
2200. 4.0 4.3412
2200. 4.5 4.2154
2200. 5.0 4.0493
2200. 5.5 3.822
2300. -0.5 4.6722
2300. 0.0 4.679
2300. 0.5 4.4087
2300. 1.0 4.1298
2300. 1.5 4.0313
2300. 2.0 4.0236
2300. 2.5 4.0504
2300. 3.0 4.0682
2300. 3.5 4.0716
2300. 4.0 4.0697
2300. 4.5 4.017
2300. 5.0 3.8715
2300. 5.5 3.7273
2400. -0.5 4.3909
2400. 0.0 4.3073
2400. 0.5 4.1781
2400. 1.0 3.7779
2400. 1.5 3.6626
2400. 2.0 3.6474
2400. 2.5 3.6797
2400. 3.0 3.7239
2400. 3.5 3.7466
2400. 4.0 3.7818
2400. 4.5 3.7711
2400. 5.0 3.6827
2400. 5.5 3.5399
2500. -0.5 4.1325
2500. 0.0 3.9838
2500. 0.5 3.8325
2500. 1.0 3.4483
2500. 1.5 3.3182
2500. 2.0 3.2927
2500. 2.5 3.3219
2500. 3.0 3.3711
2500. 3.5 3.4125
2500. 4.0 3.47
2500. 4.5 3.511
2500. 5.0 3.4953
2500. 5.5 3.3787
2600. -0.5 3.8731
2600. 0.0 3.6639
2600. 0.5 3.5823
2600. 1.0 3.1828
2600. 1.5 3.0194
2600. 2.0 2.9724
2600. 2.5 2.9883
2600. 3.0 3.0311
2600. 3.5 3.0833
2600. 4.0 3.1538
2600. 4.5 3.2271
2600. 5.0 3.2669
2600. 5.5 3.2365
2700. -0.5 3.6176
2700. 0.0 3.3573
2700. 0.5 3.3098
2700. 1.0 2.9484
2700. 1.5 2.7655
2700. 2.0 2.6895
2700. 2.5 2.6898
2700. 3.0 2.724
2700. 3.5 2.7792
2700. 4.0 2.8502
2700. 4.5 2.9376
2700. 5.0 3.0194
2700. 5.5 3.0515
2800. -0.5 3.3893
2800. 0.0 3.1105
2800. 0.5 3.0546
2800. 1.0 2.7429
2800. 1.5 2.5454
2800. 2.0 2.4565
2800. 2.5 2.4332
2800. 3.0 2.4575
2800. 3.5 2.5037
2800. 4.0 2.571
2800. 4.5 2.6612
2800. 5.0 2.758
2800. 5.5 2.829
2900. -0.5 3.1747
2900. 0.0 2.8891
2900. 0.5 2.8301
2900. 1.0 2.5416
2900. 1.5 2.3571
2900. 2.0 2.2543
2900. 2.5 2.2162
2900. 3.0 2.2298
2900. 3.5 2.2677
2900. 4.0 2.3289
2900. 4.5 2.4127
2900. 5.0 2.5129
2900. 5.5 2.6087
3000. -0.5 2.9703
3000. 0.0 2.6962
3000. 0.5 2.6268
3000. 1.0 2.4101
3000. 1.5 2.1739
3000. 2.0 2.0732
3000. 2.5 2.0342
3000. 3.0 2.0379
3000. 3.5 2.0699
3000. 4.0 2.1199
3000. 4.5 2.194
3000. 5.0 2.2906
3000. 5.5 2.3951
3100. -0.5 2.7696
3100. 0.0 2.4921
3100. 0.5 2.4144
3100. 1.0 2.2396
3100. 1.5 2.0092
3100. 2.0 1.9163
3100. 2.5 1.8771
3100. 3.0 1.8743
3100. 3.5 1.8996
3100. 4.0 1.9421
3100. 4.5 2.0061
3100. 5.0 2.0922
3100. 5.5 2.1992
3200. -0.5 2.5452
3200. 0.0 2.2647
3200. 0.5 2.1223
3200. 1.0 2.043
3200. 1.5 1.8658
3200. 2.0 1.7737
3200. 2.5 1.7415
